RowNumber,CreditScore,Geography_Spain,Geography_France,Geography_Germany,Gender_Male,Gender_Female,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Point Earned,Loyalty_Score,Complain_score
6,645,1,0,0,1,0,44,8,113755.78,2,1,0,149756.71,5,484,35.84,0.3562732165255785
19,587,1,0,0,1,0,45,6,0.0,1,0,0,158684.81,3,732,27.32,7.510243213395114e-05
42,465,0,1,0,0,1,51,8,122522.32,1,0,0,181297.65,5,828,37.28,-0.04315135732184016
44,834,0,1,0,0,1,49,2,131394.56,1,0,0,194365.76,2,567,16.67,-0.23259065569500748
45,660,1,0,0,0,1,61,5,155931.11,1,1,1,158338.39,1,884,23.34,-2.7249388415376122e-05
51,698,0,0,1,1,0,44,10,116363.37,2,1,0,198059.16,4,829,39.29,-6.475863817162476e-05
77,664,0,1,0,1,0,55,8,0.0,2,1,1,139161.64,5,220,35.2,-3.484932468847637e-05
86,652,1,0,0,0,1,75,10,0.0,2,1,1,114675.75,5,651,42.51,-0.00012167153929638302
91,647,1,0,0,0,1,44,5,0.0,3,1,1,174205.22,3,752,32.02,-2.05944459028636
92,808,0,1,0,1,0,45,7,118626.55,2,1,0,147132.46,1,559,23.09,1.5864836144591512e-05
102,623,0,1,0,0,1,44,6,0.0,2,0,0,167162.43,2,520,24.2,-1.1941720814431722e-05
105,670,1,0,0,0,1,65,1,0.0,1,1,1,177655.68,2,915,20.65,-1.7202389534690061
124,684,0,0,1,0,1,48,10,126384.42,1,1,1,198129.36,1,462,26.62,-1.1628697672832534e-05
141,756,0,0,1,1,0,44,10,137452.09,1,1,0,189543.9,5,965,41.65,2.878385995224493e-05
144,793,1,0,0,1,0,52,2,0.0,1,1,0,159123.82,5,883,28.83,0.5863083798256864
152,535,0,1,0,0,1,48,9,0.0,1,1,0,149892.79,4,697,34.47,1.4166726510833163
159,646,0,1,0,0,1,73,6,97259.25,1,0,1,104719.66,1,250,18.5,-1.2797989175594894e-05
183,778,0,0,1,0,1,45,1,162150.42,2,1,0,174531.27,2,250,14.0,-3.0972505006249804e-05
203,516,1,0,0,1,0,50,5,0.0,1,0,1,146145.93,5,509,31.59,1.2874087683105946
209,643,0,1,0,1,0,45,5,0.0,1,1,0,142513.5,3,730,25.8,2.055037564641405
210,671,0,1,0,1,0,45,2,106376.85,1,0,1,158264.62,3,244,18.44,7.58207327600795e-05
216,668,0,0,1,1,0,47,7,106854.21,1,0,1,157959.02,3,629,29.79,1.2695663534780983
217,695,0,1,0,1,0,46,7,49512.55,1,1,0,133007.34,3,310,24.6,0.00011256319977399945
225,671,0,0,1,1,0,45,6,99564.22,1,1,1,108872.45,3,901,31.01,3.205259868740953
231,673,0,1,0,1,0,72,1,0.0,2,0,1,111981.19,3,865,25.15,-9.776327730466163e-05
250,739,0,0,1,1,0,54,8,126418.14,1,1,0,134420.75,2,718,27.18,1.1735589979794807
253,681,0,1,0,0,1,79,0,0.0,2,0,1,170968.99,5,333,24.33,-0.00024363893698237137
278,777,0,1,0,0,1,53,10,0.0,2,1,0,189992.97,2,306,28.06,-0.00010887576634224421
280,714,0,1,0,1,0,46,1,0.0,1,1,0,152167.79,2,747,16.97,1.596260950023547
298,687,1,0,0,0,1,44,7,0.0,3,1,0,155853.52,2,336,25.86,-1.4319809808525374
299,511,0,1,0,1,0,58,0,149117.31,1,1,1,162599.51,1,517,12.17,-1.5231626671515265e-05
309,614,0,1,0,1,0,50,4,137104.47,1,1,0,127166.49,1,958,20.58,1.9363354577961815
311,652,0,1,0,0,1,80,4,0.0,2,1,1,188603.07,1,662,21.62,-0.0002802178025644127
314,806,0,0,1,0,1,59,0,135296.33,1,1,0,182822.5,1,486,9.86,-5.623614653849905e-05
